INDV,INDV1,INDV2,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
BGM-2111,OlhoJunto:250437624,BR.20.DArT.PL23_E01...BGM.2111,848,712,92,0.129213
BGM-2119,Pioneira:250437629,BGM.2119,850,710,98,0.138028
BGM-2119,Pioneira:250437629,BGM.2119.1,900,660,94,0.142424
BGM-2119,Pioneira:250437629,BR.20.DArT.PL23_F01...BGM.2119,871,689,110,0.159652
BGM-2127,Amarelo_Rio:250437474,BR.20.DArT.PL22_G11...BGM.2127,849,711,97,0.136428
BGM-2127,Amarelo_Rio:250437474,BR.SET1.18.BGM.2127.1.170,832,728,102,0.14011
BRS-Caipira,965502:250370266,BRS.Caipira,1028,532,77,0.144737
BRS-Caipira,BRSCaipira:250437490,BRS.Caipira,737,823,120,0.145808
BRS-NovoHorizonte,9815006:250370267,BR.SET1.18.98150.06.1.179,938,622,87,0.139871
BRS-NovoHorizonte,BGM_2124,BR.SET1.18.98150.06.1.179,858,702,100,0.14245
BRS-Tapioqueira,BRSTapioqueira:250437498,BR.SET1.18.BRS.Tapioqueira.1.173,806,754,114,0.151194
BRS-Tapioqueira,960707:250370254,BR.SET1.18.BRS.Tapioqueira.1.173,1015,545,85,0.155963
BRS-Verdinha,Verdinha:250380491,BRS.Verdinha,876,684,87,0.127193
BRS-Verdinha,960202:250370243,BRS.Verdinha,1020,540,75,0.138889
ECU72,ECU72:250327610,ECU72,699,861,89,0.103368
ECU72,ECU72:250437567,ECU72,878,682,76,0.111437
