INDV,INDV1,INDV2,N_NA,N_COMMON_CALLED,N_DISCORD,DISCORDANCE
BGM-0080,CNPMF80:250370250,BGM.0080,933,627,72,0.114833
BGM-0082,CNPMF82:250370251,BGM.0082,975,585,87,0.148718
BGM-0082,CNPMF82:250370251,BGM.0082.,965,595,84,0.141176
BGM-0083,CNPMF83:250370262,BGM.0083,1059,501,92,0.183633
BGM-0084,CNPMF84:250370263,BGM.0084,1178,382,56,0.146597
BGM-0085,CNPMF85:250370274,BGM.0085,966,594,86,0.144781
BGM-0087,CNPMF87:250370275,BGM.0087,1095,465,67,0.144086
BGM-0088,CNPMF88:250370286,BGM.0088.1,1071,489,96,0.196319
BGM-0089,CNPMF89:250370287,BGM.0089,1079,481,53,0.110187
BGM-0090,CNPMF90:250370298,BGM.0090,1097,463,82,0.177106
BGM-0090,CNPMF90:250370298,BGM.0090.1,1131,429,65,0.151515
BGM-0093,CNPMF93:250370310,BR.SET1.18.BGM.0093.1.168,1102,458,54,0.117904
BGM-0096,CNPMF96:250370322,BGM.0096,1156,404,54,0.133663
BGM-0096,CNPMF96:250370322,BGM.0096.1,1183,377,52,0.137931
BGM-0097,CNPMF97:250370323,BGM.0097,994,566,75,0.132509
BGM-0100,CNPMF100:250370335,BGM.0100,949,611,81,0.13257
BGM-0106,CNPMF106:250370264,BGM.0106,1171,389,61,0.156812
BGM-0115,CNPMF115:250370276,BGM.0115,991,569,69,0.121265
BGM-0115,CNPMF115:250370276,BGM.0115.1,1003,557,72,0.129264
BGM-0115-TB,BGM0115TaloBranco:250437860,BGM.0115.TB,817,743,97,0.130552
BGM-0115-TB,BGM0115TaloBranco:250437860,BGM.0115.TB.1,813,747,94,0.125837
BGM-0115-TR,BGM0115TaloRoxo:250437867,BGM.0115.TR,792,768,90,0.117188
BGM-0115-TR,BGM0115TaloRoxo:250437867,BGM.0115.TR.1,826,734,90,0.122616
BGM-0116,CNPMF116:250370277,BGM.0116,1135,425,75,0.176471
BGM-0119,CNPMF119:250370289,BGM.0119,1046,514,74,0.143969
BGM-0120,CNPMF120:250370300,BGM.0120,982,578,88,0.152249
BGM-0120,PAULO_ROSA,BGM.0120,857,703,100,0.142248
BGM-0120,PauloRosa:250437619,BGM.0120,831,729,112,0.153635
BGM-0121,CNPMF121:250370301,BGM.0121,983,577,79,0.136915
BGM-0123,CNPMF123:250370313,BGM.0123,1110,450,63,0.14
BGM-0124,CNPMF124:250370324,BGM.0124.1,1055,505,72,0.142574
BGM-0126,CNPMF126:250370325,BGM.0126,1069,491,80,0.162933
BGM-0128,CNPMF128:250370337,BR.SET1.18.BGM.0128.1.171,997,563,76,0.134991
BGM-0130,CNPMF130:250370369,BGM.0130,899,661,112,0.16944
BGM-0131,CNPMF131:250370381,BGM.0131,913,647,73,0.112828
BGM-0132,CNPMF132:250370382,BGM.0132,814,746,78,0.104558
BGM-0133,CNPMF133:250370393,BGM.0133,948,612,91,0.148693
BGM-0134,CNPMF134:250370394,BGM.0134,936,624,67,0.107372
BGM-0136,CNPMF136:250370406,BGM.0136,872,688,105,0.152616
BGM-0137,CNPMF137:250370417,BGM.0137,822,738,80,0.108401
BGM-0140,BGM0140:250437175,BGM.0140,963,597,85,0.142379
BGM-0143,CNPMF143:250370429,BGM.0143,865,695,95,0.136691
BGM-0144,CNPMF144:250370430,BGM.0144,920,640,82,0.128125
BGM-0145,CNPMF145:250370441,BGM.0145,912,648,102,0.157407
BGM-0150,CNPMF150:250370371,BGM.0150,854,706,92,0.130312
BGM-0150,CNPMF150:250370371,BGM.0150.1,880,680,90,0.132353
BGM-0151,CNPMF151:250370372,BGM.0151,816,744,82,0.110215
BGM-0152,CNPMF152:250370383,BGM.0152,794,766,88,0.114883
BGM-0152,CNPMF152:250370383,BGM.0152.1,814,746,93,0.124665
BGM-0155,CNPMF155:250370395,BGM.0155,853,707,105,0.148515
BGM-0156,CNPMF156:250370396,BGM.0156,888,672,94,0.139881
BGM-0157,CNPMF157:250370407,BGM.0157,880,680,95,0.139706
BGM-0160,CNPMF160:250370419,BGM.0160,914,646,96,0.148607
BGM-0161,CNPMF161:250370420,BGM.0161,850,710,95,0.133803
BGM-0162,CNPMF162:250370431,BGM.0162,1013,547,78,0.142596
BGM-0162,CNPMF162:250370431,BGM.0162.1,846,714,105,0.147059
BGM-0163,CNPMF163:250370432,BGM.0163,894,666,82,0.123123
BGM-0164,CNPMF164:250370443,BGM.0164,933,627,94,0.14992
BGM-0165,CNPMF165:250370444,BGM.0165,1011,549,86,0.156648
BGM-0166,CNPMF166:250370455,BGM.0166,1056,504,77,0.152778
BGM-0167,CNPMF167:250370456,BGM.0167,830,730,112,0.153425
BGM-0168,CNPMF168:250370373,BGM.0168,846,714,108,0.151261
BGM-0169,CNPMF169:250370374,BGM.0169,965,595,91,0.152941
BGM-0170,CNPMF170:250370385,BGM.0170,1079,481,78,0.162162
BGM-0171,CNPMF171:250370386,BGM.0171,977,583,73,0.125214
BGM-0174,CNPMF174:250370397,BGM.0174,1046,514,69,0.134241
BGM-0177,CNPMF177:250370409,BGM.0177,840,720,95,0.131944
BGM-0177,CNPMF177:250370409,BGM.0177.1,846,714,96,0.134454
BGM-0182,CNPMF182:250370433,BGM.0182,938,622,77,0.123794
BGM-0182,CNPMF182:250370433,BGM.0182.1,956,604,74,0.122517
BGM-0185,CNPMF185:250370446,BGM.0185,1057,503,72,0.143141
BGM-0188,CNPMF188:250370375,BGM.0188,878,682,97,0.142229
BGM-0189,CNPMF189:250370376,BGM.0189,918,642,76,0.11838
BGM-0195,BGM0195:250437183,BGM.0195,852,708,78,0.110169
BGM-0199,CNPMF199:250370388,BGM.0199,887,673,104,0.154532
BGM-0201,CNPMF201:250370399,BGM.0201,996,564,66,0.117021
BGM-0202,BGM0202:250437176,BGM.0202,836,724,82,0.11326
BGM-0204,CNPMF204:250370400,BGM.0204,897,663,89,0.134238
BGM-0207,CNPMF207:250370412,BGM.0207,807,753,97,0.128818
BGM-0208,CNPMF208:250370423,BGM.0208,919,641,98,0.152886
BGM-0209,CNPMF209:250370424,BGM.0209,776,784,106,0.135204
BGM-0209,CNPMF209:250370424,BGM.0209.1,816,744,113,0.151882
BGM-0210,CNPMF210:250370435,BGM.0210,860,700,94,0.134286
BGM-0211,CNPMF211:250370436,BGM.0211,994,566,92,0.162544
BGM-0212,CNPMF212:250370447,BGM.0212,919,641,77,0.120125
BGM-0213,CNPMF213:250370448,BGM.0213,823,737,75,0.101764
BGM-0214,CNPMF214:250370459,BGM.0214,1049,511,66,0.129159
BGM-0215,CNPMF215:250370460,BGM.0215,828,732,101,0.137978
BGM-0216,CNPMF216:250370377,BR.SET1.18.BGM.0216.1.102,847,713,101,0.141655
BGM-0220,CNPMF220:250370389,BGM.0220,1122,438,80,0.182648
BGM-0226,CNPMF226:250370401,BGM.0226,898,662,77,0.116314
