GID	predOf	DMCg	logFSY	logFRY	PA	StC	Anthractnose	ManchaBranca	ManchaParda	QueimaFolhas
1782	BR-21GS-C3-144-1	GETGV	0.382253833861532	0.00450875200047852	0.168311438940256	-0.183973543986975	-0.213816339397913	-0.0179390649322194	-0.0407791933695649	-0.0233934458227713	-1.76799321797184e-05
1783	BR-21GS-C3-144-10	GEBV	0.969213838526536	0.00577244216361292	0.144744302024325	0.240380768852971	1.21405134704628	0	0.00146887496059808	-0.0122880454412156	0
1784	BR-21GS-C3-144-10	GETGV	0.913306646070905	-0.0029298086003409	0.167910756645594	0.359954309047879	1.21405134704628	-0.00180109319816802	-0.0115661166446189	-0.0122880454412156	1.49379851643166e-06
1785	BR-21GS-C3-145-4	GEBV	0.633996047852395	0.0545196609621044	0.0236131267617239	0.447713578825667	-0.419550325036759	0	-0.0126928195962551	-0.0377674352702401	0
1786	BR-21GS-C3-145-4	GETGV	0.374583039976956	0.0848646302130055	0.0715236001432037	0.473468977075477	-0.419550325036759	0.0332820743756289	0.0429211065978837	-0.0377674352702401	-4.04834918789529e-05
1787	BR-21GS-C3-145-13	GEBV	0.437274973824153	0.173247523439465	0.0965192826552137	0.552453942418736	0.149073121748716	0	-0.0149750608450272	-0.00406206679445278	0
1788	BR-21GS-C3-145-13	GETGV	0.0185298238192721	0.144458433806542	0.0810615286925016	0.640421760364211	0.149073121748716	-0.00468548441479468	-0.0147548139959809	-0.00406206679445278	-7.56877077817923e-05
1789	BR-21GS-C3-145-22	GEBV	0.34654116338766	0.122127250958598	0.0975349236228179	0.525625366157221	-0.656860143912318	0	-0.00649081773673874	0.0092818070670179	0
1790	BR-21GS-C3-145-22	GETGV	0.166772183292108	-0.0528515031135188	-0.155228342816944	0.386811324088996	-0.656860143912318	0.0366844564940475	0.0632612087015063	0.0092818070670179	-2.54085034665142e-05
1791	BR-21GS-C3-136-2	GEBV	0.723699771823891	0.122711878390938	0.118687686233194	0.397335416879992	0.0623390238609517	0	-0.0048349820504911	-0.0106875472165995	0
1792	BR-21GS-C3-136-2	GETGV	0.872123382207839	0.123384323878115	0.0975658575804348	0.321263420324632	0.0623390238609517	0.00980830414395635	0.0752830794737308	-0.0106875472165995	-2.51501332079815e-05
1793	BR-21GS-C3-136-10	GEBV	-0.177971418497442	0.138293673850434	0.28426335186686	0.0893398740792623	-0.962765416920709	0	-0.00433631564625109	0.0310086606714551	0
1794	BR-21GS-C3-136-10	GETGV	0.303099183929771	0.270366623819934	0.38062855774454	0.0107948671393611	-0.962765416920709	-0.00841328212178762	0.0370970501181987	0.0310086606714551	1.99206500891749e-05
1795	BR-21GS-C3-138-3	GEBV	-0.0569244011523223	-0.106944971322311	-0.077527566978914	0.601453857855832	-0.276280225517433	0	0.000667173307800244	-0.00683134202454296	0
1796	BR-21GS-C3-138-3	GETGV	-0.230159536383326	-0.10839190463186	-0.123698311967841	0.88836372207559	-0.276280225517433	5.50434387428057e-05	-0.0660643677354841	-0.00683134202454296	3.49649201982271e-05
1797	BR-21GS-C3-141-2	GEBV	0.849151847783109	-0.0232742320032713	0.17327582904474	0.581732705996777	0.917219378437605	0	-0.00682021053685847	0.00755329566466484	0
